SBHGF,CBOE,CME,GBTC,GAHC,GROW,MGTI,RIOT,SQ,STVI,XNET,SRAX,BTLLF,MICT,SSC,HDP,KODK,OSTK,BTCS,MARA 
0.009311367,2.4617E-05,5.56701E-05,0.000233516,-0.000532885,-4.99099E-05,-5.49327E-05,-0.000613672,6.99615E-05,-0.00050046,0.000187754,-0.001012192,0.000283033,-6.43819E-05,0.000152622,-0.00019638,0.000169031,0.000302421,0.002195019,0.000273375
2.4617E-05,0.000131483,4.12108E-05,-6.17432E-05,-4.33197E-05,5.79235E-05,-9.17361E-06,1.29531E-05,5.61788E-05,-7.80298E-05,8.81269E-05,0.000106326,2.49975E-05,1.82259E-05,-1.63156E-05,2.88633E-05,9.48769E-05,1.86551E-06,9.68386E-05,4.63276E-06
5.56701E-05,4.12108E-05,0.000109169,-3.81208E-06,4.74316E-05,4.07214E-05,6.2069E-05,4.91087E-05,4.27916E-05,6.90786E-05,-1.02933E-05,5.49877E-05,0.000117994,-9.50188E-06,-4.04767E-05,1.94037E-05,4.95879E-05,6.80828E-05,-0.000653939,-9.05731E-05
0.000233516,-6.17432E-05,-3.81208E-06,0.006937637,0.004493113,0.001583682,0.003505783,0.001877202,3.41703E-05,0.001524899,6.58358E-06,0.000693593,0.001845116,-0.000127383,0.000542779,0.000265917,0.000131186,0.000617616,-0.000650645,0.001076351
-0.000532885,-4.33197E-05,4.74316E-05,0.004493113,0.02956849,0.002271981,0.004749421,0.002207135,0.000209371,0.003333376,0.000213777,0.001886654,0.001695969,1.18712E-05,0.001041396,0.00028817,-0.000182116,0.001288556,-0.025867509,0.001464234
-4.99099E-05,5.79235E-05,4.07214E-05,0.001583682,0.002271981,0.005122342,0.001993251,0.002772993,0.000171052,0.001133022,0.001272317,0.001572426,0.001099794,0.001379376,0.001768086,0.000271368,0.000295798,0.00086014,-0.004518713,0.005294153
-5.49327E-05,-9.17361E-06,6.2069E-05,0.003505783,0.004749421,0.001993251,0.009898953,0.002323322,0.000205383,0.000956773,-0.000271911,0.000660131,0.00171379,0.000470001,0.00116166,0.000108786,-0.000134743,0.000850482,0.005169935,0.002654657
-0.000613672,1.29531E-05,4.91087E-05,0.001877202,0.002207135,0.002772993,0.002323322,0.007375597,0.000480238,0.001049979,0.001483769,0.003220462,0.001182001,0.000848193,0.001861222,0.000179325,0.000366806,0.001121391,-0.000314146,0.005656097
6.99615E-05,5.61788E-05,4.27916E-05,3.41703E-05,0.000209371,0.000171052,0.000205383,0.000480238,0.000747248,-0.000270848,0.000421988,0.000319794,0.000242745,0.000246286,0.000140148,0.000155115,0.000102676,0.000310878,-0.002979444,-4.58772E-05
-0.00050046,-7.80298E-05,6.90786E-05,0.001524899,0.003333376,0.001133022,0.000956773,0.001049979,-0.000270848,0.009612536,-0.00020193,0.000383517,0.00151185,0.000125563,0.001246032,0.000125783,0.000203565,0.000630332,-0.020187353,0.001566656
0.000187754,8.81269E-05,-1.02933E-05,6.58358E-06,0.000213777,0.001272317,-0.000271911,0.001483769,0.000421988,-0.00020193,0.005255896,0.001525048,6.70274E-05,0.00045248,0.000184084,0.000108296,0.000821866,0.001067883,0.002622739,0.001754603
-0.001012192,0.000106326,5.49877E-05,0.000693593,0.001886654,0.001572426,0.000660131,0.003220462,0.000319794,0.000383517,0.001525048,0.009273526,-9.64921E-05,0.000526205,0.000938036,0.000212826,-0.000458666,0.001509637,-0.002500473,0.003227888
0.000283033,2.49975E-05,0.000117994,0.001845116,0.001695969,0.001099794,0.00171379,0.001182001,0.000242745,0.00151185,6.70274E-05,-9.64921E-05,0.006543599,3.20227E-05,0.000468628,0.000218475,5.07628E-05,0.000702236,0.009677752,0.000677522
-6.43819E-05,1.82259E-05,-9.50188E-06,-0.000127383,1.18712E-05,0.001379376,0.000470001,0.000848193,0.000246286,0.000125563,0.00045248,0.000526205,3.20227E-05,0.00460338,0.000735446,-8.46974E-05,7.43952E-05,1.11357E-05,-0.002006537,0.003834248
0.000152622,-1.63156E-05,-4.04767E-05,0.000542779,0.001041396,0.001768086,0.00116166,0.001861222,0.000140148,0.001246032,0.000184084,0.000938036,0.000468628,0.000735446,0.00510835,0.000264492,0.000745722,0.000480485,-0.003410464,0.003100784
-0.00019638,2.88633E-05,1.94037E-05,0.000265917,0.00028817,0.000271368,0.000108786,0.000179325,0.000155115,0.000125783,0.000108296,0.000212826,0.000218475,-8.46974E-05,0.000264492,0.000896302,0.000156684,0.000222922,-0.002562288,0.000333191
0.000169031,9.48769E-05,4.95879E-05,0.000131186,-0.000182116,0.000295798,-0.000134743,0.000366806,0.000102676,0.000203565,0.000821866,-0.000458666,5.07628E-05,7.43952E-05,0.000745722,0.000156684,0.008922574,-0.000449743,0.002592688,0.000205493
0.000302421,1.86551E-06,6.80828E-05,0.000617616,0.001288556,0.00086014,0.000850482,0.001121391,0.000310878,0.000630332,0.001067883,0.001509637,0.000702236,1.11357E-05,0.000480485,0.000222922,-0.000449743,0.002603949,-0.003452619,0.000856612
0.002195019,9.68386E-05,-0.000653939,-0.000650645,-0.025867509,-0.004518713,0.005169935,-0.000314146,-0.002979444,-0.020187353,0.002622739,-0.002500473,0.009677752,-0.002006537,-0.003410464,-0.002562288,0.002592688,-0.003452619,5.122121621,0.001409217
0.000273375,4.63276E-06,-9.05731E-05,0.001076351,0.001464234,0.005294153,0.002654657,0.005656097,-4.58772E-05,0.001566656,0.001754603,0.003227888,0.000677522,0.003834248,0.003100784,0.000333191,0.000205493,0.000856612,0.001409217,0.028102822
