SBHGF,CBOE,CME,GBTC,GAHC,GROW,MGTI,RIOT,SQ,STVI,XNET,SRAX,BTLLF,MICT,SSC,HDP,KODK,OSTK,BTCS,MARA ,S&P500
0,0.006782151,0.009090074,0,-0.1,-0.016393443,-0.004714286,0.034267913,-0.001395673,-0.067058824,-0.015831135,0,0.123733366,0.053846154,-0.157303371,0.009487666,0.003389831,0,4,0.066176471,0.004992309
0,0.002994088,-0.002293013,0,0.236111111,0.033333333,-0.023970145,-0.030120482,-0.029350105,0.04665826,0.00536193,-0.041935484,-0.014884024,0.00729927,0,-0.013157895,-0.023648649,0.005434783,11,-0.048275862,-0.000864118
0,0.006716254,0.006484485,0,0.337078652,-0.037634409,0.011323529,0.01863354,0.041756659,-0.084337349,-0.013333333,-0.057239057,-0.038930245,0,0.073266667,0.003809524,0.003460208,0.005405405,-0.916666667,-0.028985507,0.001678556
0,-0.004941853,-0.012803802,0.027777754,-0.075630252,-0.033519553,0.003344482,-0.024390244,0.01105736,-0.302631579,0,0.046428571,-0.087727351,-0.072463768,0.049754643,-0.007590133,0.024137931,-0.018817204,12,0.007462687,0.006048066
0,0,0.012061125,0.022522914,0.272727273,0.023121387,0.014492754,-0.015625,0.028024607,0.320754717,0,-0.023890785,0.043144654,0.0390625,-0.035502959,-0.018164436,0.006734007,-0.002739671,0,0.02962963,-0.0010822
0,-0.003476466,8.15662E-05,0.030836566,0.142857143,0.028248588,0.242857143,0.00952381,0.140292553,0.014285714,-0.013513514,-0.073426573,-0.012661281,0.007518797,-0.018404908,-0.019474197,0.003344482,-0.010989065,0.076923077,-0.021582734,0.000418987
0,-0.00697739,0.000816278,0.016838115,-0.25,-0.005494505,-0.114942529,-0.009433962,0.016326531,0.26056338,0.002739726,-0.018867925,0.051294577,-0.020149254,0.0125,-0.013902681,-0.013333333,0.008333333,0.178571429,-0.007352941,0.001493364
0,-0.00928486,0.00171259,-0.016559288,-0.091666667,-0.011049724,-0.025974026,0.028571429,0.028686173,-0.117318436,-0.008196721,-0.007692308,0.055065056,-0.047981721,0.061728395,0.019133938,-0.02027027,0.011019284,-0.060606061,0.014814815,0.001017983
0,-0.011524768,-0.011153663,-0.017094004,-0.165137615,0.027932961,0.146666667,-0.049382716,-0.034021194,-0.107594937,0,-0.042635659,-0.035564854,0.064,0.046569767,-0.017786561,-0.010344828,0.005449646,0.061290323,0.02189781,-0.002578376
0,0.019280332,0.04561176,0.017826508,0.197802198,-0.059782609,0.197674419,0.019480519,-0.00577373,0.070921986,0.002754821,0.011740891,0.002854207,-0.022556391,0.066607411,0.018108652,0.003484321,-0.005420108,0.416413374,-0.014285714,0.013673855
0,-0.013240982,-0.021732296,0.071336833,0.211009174,0.01734104,0.019417476,-0.006369427,-0.013356505,-0.041059603,0,-0.019607843,0.046391166,0.023076923,0.041666667,-0.011857708,-0.010416667,0.002724796,-0.957081545,-0.028985507,-0.00585988
0,0.000255588,-0.001529339,0.028707815,-0.166666667,-0.005682398,0.19047619,0.003205128,-0.005885874,-0.033149171,-0.013736264,-0.028571429,0.299026274,0.030075188,0.065,-0.01,0.031578947,-0.02173913,22.11,0.007462687,0.000503877
0,-0.003577332,0,0.077519325,-0.163636364,0,-0.144,0,-0.001776081,0.014285714,0.002785515,-0.033613445,0.222319933,-0.04379562,0.051643192,0.008080808,-0.027210884,-0.022222222,-0.956728689,0.059259259,-0.003277241
0,-0.000256337,-0.003949934,-0.050359679,-0.141304348,-0.057142308,-0.130747664,-0.003194888,-0.005931257,-0.084507042,-0.002777778,-0.030434783,-0.197368872,-0.038167939,-0.116071429,-0.009018036,-0.013986014,0.005681875,18,-0.020979021,-0.002913374
0,0.005386637,0.002440878,-0.06704496,0.069620253,-0.090909091,0.032147081,0,0.004176611,-0.113846154,-0.002785515,0.031390135,-0.082636162,-0.007936508,0.050505051,-0.003033367,-0.088652482,-0.008474689,-0.052631579,0,-0.002284216
0,0.002423699,0.004951313,0.035322623,-0.065088757,0.028723911,-0.114583333,0.041666667,0.01426025,-0.123263889,-0.005586592,-0.039130435,-0.100083752,-0.024,-0.067307692,-0.003042596,-0.046692607,-0.008546952,0,-0.064285714,0.000799895
0,0.013362216,-0.000646109,0.05882311,-0.113924051,0.025974292,0.005882353,0.058461538,-0.009373169,-0.205940594,0,-0.031674208,0.079416783,-0.016393443,0.025773196,0.01017294,-0.048979592,0,-0.944444444,0.007633588,0.00326867
0,0.007785932,0.008890317,-0.009259084,-0.144285714,-0.01898737,-0.087719298,0.026162791,0.001182732,0.002493766,0.095505618,0.009345794,0.031613738,0,-0.005025126,-0.014098691,0,-0.00862069,14.3,0,0.000366633
0,0.001619982,-0.003044161,-0.0205609,-0.031719533,-0.02580671,0.141025641,-0.02266289,-0.009450679,0,-0.007692308,0.037037037,-0.071365557,0,-0.015151515,-0.033707865,0.012875536,0.005797101,-0.019607843,0.015151515,-0.003379027
0,-0.001492904,0.002330236,0.008015644,-0.068965517,0.039735171,-0.033707865,0.031884058,0.010733512,0,0.062015504,-0.017857143,0.0187,0.008333333,0.056410256,0.026427061,-0.004237288,0.01152732,0.093333333,-0.014925373,0.008374753
0,0.002367342,0,-0.072321048,-0.074074074,0.012739308,-0.016569767,0,0.015339114,-0.004975124,-0.00729927,-0.022727273,0.036811623,0.05785124,-0.029126214,0.019567456,-0.008510638,0.008547123,0.158536585,-0.075757576,-0.00162671
0,0.001491492,-0.00120247,-0.036735024,0.012,0.00628889,0.016848951,-0.061797753,0.004067519,-0.125,0.017156863,-0.041860465,0.15158114,0.0234375,0.05,0.014141414,-0.012875536,0.019773897,-0.065789474,-0.12295082,-0.001314315
0,-0.000744585,-0.005297299,-0.101694837,0.027667984,0.012499809,-0.011627907,-0.008982036,-0.002314873,-0.14,-0.03373494,0.019417476,0.000822166,0,0.014285714,-0.007968127,-0.004347826,0,-0.042253521,-0.018691589,-0.002009893
0,-0.010806161,-0.029452189,0.160377221,0.153846154,-0.061728093,-0.023529412,-0.033232628,-0.042343387,0.003322259,-0.017456359,-0.033333333,-0.108683151,-0.083969466,-0.039014085,-0.039156627,-0.030567686,-0.03047086,-0.5,-0.380952381,-0.012407973
0,0.001130224,-0.00789827,-0.097235375,-0.05,0.059210619,0.024096386,0.090625,-0.006056935,0.009933775,-0.012690355,-0.004926108,-0.042073733,0.05,-0.003370951,-0.013584117,0.009009009,-0.025714343,-0.129411765,0.153846154,0.001889886
0,0.001505062,-0.001173162,0.008645162,0.035087719,0.012422168,0.035294118,-0.045845272,0.012187751,0.049180328,0.010282776,-0.024752475,0.035406745,0.031746032,0.029411765,-0.013771186,0,-0.008797596,-0.148648649,-0.026666667,-0.00106027
0,-0.005134631,0.005789056,-0.026785693,-0.152542373,-0.024539502,-0.011363636,0.012012012,-0.001204154,0.015625,-0.027989822,0.015228426,0.060493426,-0.015384615,0.028571429,0,-0.004464286,0.00591716,0.206349206,0.164383562,-0.000843996
0,-0.003272974,-0.013680359,0.045413182,0.02,-0.056604486,-0.017241379,0.03264095,0.039783002,-0.070769231,-0.005235602,-0.04,0.003023001,-0.015625,-0.013888889,0.005370569,0.035874439,0.008823529,-0.275,0.247058824,-0.001019587
0,-0.000505274,0.004905373,-0.021500593,-0.078431373,0.033333854,-0.01754386,0.00862069,-0.00115942,0.026490066,0.005263158,0.067708333,0.066917096,-0.031746032,-0.023474178,0.012820513,-0.021645022,-0.005830962,0.054446461,-0.009433962,0.007251474
-1.470588218,0.000884651,-0.002693191,0.017937198,0.085106383,0.02580671,0,0.143333333,-0.000580441,0.048387097,0.002617801,0.195121951,-0.028330468,0.016393443,-4.80769E-05,0.02742616,0,-0.008797596,-0.191049914,-0.076190476,0.001085325
0,0.009973448,0.002953618,-0.013216244,0.019607843,-0.025157478,0.011904762,-0.015723506,0.005807259,0.076923077,0.057441253,0.012244898,0.000674138,0.032258065,0.038511467,-0.001026694,0.008849558,0.01183432,-0.065957447,-0.020618557,0.00293511
0,0.01337492,-0.000420734,0.036696569,0.326923077,0.006451185,0.023529412,0.012658228,-0.002309411,0,0,-0.076612903,0.005726316,-0.0859375,-0.041666667,0.008221994,0.00877193,0.005848012,0.184510251,0.073684211,-0.002255048
